local_id,group_name,group_description,group_membership_rule,group_membership_rule_name
jobfamily_technical_communications,Inherited - JobFamily - Technical Communications,Managed by Workday - Employees in the Technical Communications JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""JOB_FAMILY-3-138"")",JobFam - Technical Communications
jobfamily_technical_recruiting,Inherited - JobFamily - Technical Recruiting,Managed by Workday - Employees in the Technical Recruiting JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Technical Recruiting"")",JobFam - Technical Recruiting
jobfamily_total_rewards,Inherited - JobFamily - Total Rewards,Managed by Workday - Employees in the Total Rewards JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Total Rewards"")",JobFam - Total Rewards
jobfamily_user_research,Inherited - JobFamily - User Research,Managed by Workday - Employees in the User Research JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""User Experience"")",JobFam - User Research
jobfamilygroup_analytics,Inherited - JobFamilyGroup - Analytics,Managed by Workday - Employees in the Analytics JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Analytics"")",JobFamGrp - Analytics
jobfamilygroup_clinical,Inherited - JobFamilyGroup - Clinical,Managed by Workday - Employees in the Clinical JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Clinical"")",JobFamGrp - Clinical
jobfamilygroup_corporate_administration,Inherited - JobFamilyGroup - Corporate Administration,Managed by Workday - Employees in the Corporate Administration JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Corporate Administration"")",JobFamGrp - Corporate Administration
jobfamilygroup_customer_success_group,Inherited - JobFamilyGroup - Customer Success Group,Managed by Workday - Employees in the Customer Success Group JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Account Management"")",JobFamGrp - Customer Success Group
jobfamilygroup_engineering,Inherited - JobFamilyGroup - Engineering,Managed by Workday - Employees in the Engineering JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Engineering"")",JobFamGrp - Engineering
jobfamilygroup_executive_group,Inherited - JobFamilyGroup - Executive Group,Managed by Workday - Employees in the Executive Group JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Executive Group"")",JobFamGrp - Executive Group
jobfamilygroup_finance,Inherited - JobFamilyGroup - Finance,Managed by Workday - Employees in the Finance JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Finance"")",JobFamGrp - Finance
jobfamilygroup_go_to_market,Inherited - JobFamilyGroup - Go-to-Market,Managed by Workday - Employees in the Go-to-Market JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Go-to-Market"")",JobFamGrp - Go-to-Market
jobfamilygroup_human_resources,Inherited - JobFamilyGroup - Human Resources,Managed by Workday - Employees in the Human Resources JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Human Resources"")",JobFamGrp - Human Resources
jobfamilygroup_information_technology,Inherited - JobFamilyGroup - Information Technology,Managed by Workday - Employees in the Information Technology JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Information Technology"")",JobFamGrp - Information Technology
jobfamilygroup_legal,Inherited - JobFamilyGroup - Legal,Managed by Workday - Employees in the Legal JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Legal"")",JobFamGrp - Legal
jobfamilygroup_marketing,Inherited - JobFamilyGroup - Marketing,Managed by Workday - Employees in the Marketing JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Marketing"")",JobFamGrp - Marketing
jobfamilygroup_none,Inherited - JobFamilyGroup - None,Managed by Workday - Employees without a JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == """")",JobFamGrp - None
jobfamilygroup_operations_group,Inherited - JobFamilyGroup - Operations Group,Managed by Workday - Employees in the Operations Group JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Operations Group"")",JobFamGrp - Operations Group
jobfamilygroup_patient_care,Inherited - JobFamilyGroup - Patient Care,Managed by Workday - Employees in the Patient Care JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Patient Care"")",JobFamGrp - Patient Care
jobfamilygroup_product,Inherited - JobFamilyGroup - Product,Managed by Workday - Employees in the Product JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Product"")",JobFamGrp - Product
jobfamilygroup_sales,Inherited - JobFamilyGroup - Sales,Managed by Workday - Employees in the Sales JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Sales"")",JobFamGrp - Sales
jobfamilygroup_service_quality,Inherited - JobFamilyGroup - Service & Quality,Managed by Workday - Employees in the Service & Quality JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Service & Quality"")",JobFamGrp - Service & Quality
jobfamilygroup_strategic_alliances_group,Inherited - JobFamilyGroup - Strategic Alliances Group,Managed by Workday - Employees in the Strategic Alliances Group JobFamilyGroup,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyGroupID == ""Strategic Alliances Group"")",JobFamGrp - Strategic Alliances Group
lgrh_employees,Inherited - Type - LGRH Employees,DO NOT EDIT - Managed by Terraform - LGRH Employees,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND user.workerType == ""Employee"" AND user.company == ""LE003 Grand Rounds Florida P.A."" OR isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND user.workerType == ""Employee"" AND user.company == ""LE001 Grand Rounds, Inc.""",Type - LGRH Employees
lgrh_contingents,Inherited - Type - LGRH Contingents,DO NOT EDIT - Managed by Terraform - LGRH Contingent Workers,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND user.workerType == ""Contingent Worker"" AND user.company == ""LE003 Grand Rounds Florida P.A."" OR isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND user.workerType == ""Contingent Worker"" AND user.company == ""LE001 Grand Rounds, Inc.""",Type - LGRH Contingents
org_cfo,Inherited - Org - CFO Org,Managed by Workday - All Employees that report up to the Chief Financial Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.executiveGroup == ""Gabe Cortes"")",Org - CFO
org_cho,Inherited - Org - CHO Org,Managed by Workday - All Employees that report up to the Chief Health Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.executiveGroup == ""Ami Parekh"")",Org - CHO
org_cio,Inherited - Org - CIO Org,Managed by Workday - All Employees that report up to the Chief Information Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.boltLeader == ""Andreas Heid"")",Org - CIO
org_cpo,Inherited - Org - CPO Org,Managed by Workday - All Employees that report up to the Chief Product Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.executiveGroup == ""Nupur Srivastava"")",Org - CPO
org_cto,Inherited - Org - CTO Org,Managed by Workday - All Employees that report up to the Chief Technology Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.executiveGroup == ""Wade Chambers"")",Org - CTO
org_gtm,Inherited - Org - GTM Org,Managed by Workday - All Employees that report up to the Chief Commercial Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.executiveGroup == ""Robin Glass"")",Org - GTM
org_tao,Inherited - Org - TAO Org,Managed by Workday - All Employees that report up to the Chief People Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.executiveGroup == ""Jim O'Gorman"") AND !isMemberOfGroup(""00g26v2cqjUxYrI1W697"")",Org - TAO
org_ceo_directs,Inherited - Org - CEO Directs,Managed by Workday - All Employees that report directly to the Chief Executive Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_000286"")",Org - CEO Directs
org_cfo_directs,Inherited - Org - CFO Directs,Managed by Workday - All Employees that report directly to the Chief Financial Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_000108"")",Org - CFO Directs
org_cho_directs,Inherited - Org - CHO Directs,Managed by Workday - All Employees that report directly to the Chief Health Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_000227"")",Org - CHO Directs
org_cpo_directs,Inherited - Org - CPO Directs,Managed by Workday - All Employees that report directly to the Chief Product Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_000281"")",Org - CPO Directs
org_cto_directs,Inherited - Org - CTO Directs,Managed by Workday - All Employees that report directly to the Chief Technology Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_000013"")",Org - CTO Directs
org_gtm_directs,Inherited - Org - GTM Directs,Managed by Workday - All Employees that report directly to the Chief Commercial Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_001173"")",Org - GTM Directs
org_tao_directs,Inherited - Org - TAO Directs,Managed by Workday - All Employees that report directly to the Chief People Officer,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.managerId == ""WUID_000875"")",Org - TAO Directs
shareworks_access,Inherited - Type - Shareworks Access,DO NOT EDIT - Managed by Terraform - Employee Has Shareworks Account,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND user.shareworksAccess == true",Type - Shareworks Access
handbook_access,Inherited - Type - Employee Handbook Access,DO NOT EDIT - Managed by Terraform - Employee granted handbook access,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"")",Type - Handbook Access
ih_swag_store,IAM - Included Health Swag Store,DO NOT EDIT - Managed by Terraform - Employee granted Swag Store access,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" OR user.workerType == ""Contingent Worker"")",Type - Swag Store Access
department_medical,Inherited - Department - Medical,Managed by Workday - Employees in the Department Medical,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.department == ""Medical"")",Department - Medical
zero_touch_new_hires,IAM - Okta MFA - Zero-Touch New Hires,Future Hires within the Okta MFA Zero-Touch group,"user.workdayActiveStatus!=true AND isMemberOfAnyGroup(""${zero_touch_group_id}"")",Okta MFA Zero-Touch New Hires
