local_id,group_name,group_description,group_membership_rule,group_membership_rule_name
jobfamily_applications_engineering,Inherited - JobFamily - Applications Engineering,Managed by Workday - Employees in the Applications Engineering JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Applications Product Development"")",JobFam - Applications Engineering
jobfamily_benefits,Inherited - JobFamily - Benefits,Managed by Workday - Employees in the Benefits JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Benefits"")",JobFam - Benefits
jobfamily_brand_marketing,Inherited - JobFamily - Brand Marketing,Managed by Workday - Employees in the Brand Marketing JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Brand Marketing"")",JobFam - Brand Marketing
jobfamily_care_coordination,Inherited - JobFamily - Care Coordination,Managed by Workday - Employees in the Care Coordination JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Care Coordination"")",JobFam - Care Coordination
jobfamily_care_operations_specialist,Inherited - JobFamily - Care Operations Specialist,Managed by Workday - Employees in the Care Operations Specialist JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Care Operations Specialist"")",JobFam - Care Operations Specialist
jobfamily_case_management,Inherited - JobFamily - Case Management,Managed by Workday - Employees in the Case Management JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Case Management"")",JobFam - Case Management
jobfamily_claims,Inherited - JobFamily - Claims,Managed by Workday - Employees in the Claims JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Claims"")",JobFam - Claims
jobfamily_clinical_lead,Inherited - JobFamily - Clinical Lead,Managed by Workday - Employees in the Clinical Lead JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Clinical Lead"")",JobFam - Clinical Lead
jobfamily_clinical_quality,Inherited - JobFamily - Clinical Quality,Managed by Workday - Employees in the Clinical Quality JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Clinical Quality"")",JobFam - Clinical Quality
jobfamily_clinical_service_lines,Inherited - JobFamily - Clinical Service Lines,Managed by Workday - Employees in the Clinical Service Lines JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Clinical Service Lines"")",JobFam - Clinical Service Lines
